timestamp, utilization.gpu [%], temperature.gpu, memory.used [MiB]
2026/03/09 13:25:35.192, 0 %, 42, 1 MiB
2026/03/09 13:25:36.193, 0 %, 42, 5 MiB
2026/03/09 13:25:37.193, 0 %, 42, 5 MiB
2026/03/09 13:25:38.194, 95 %, 48, 1203 MiB
2026/03/09 13:25:39.195, 100 %, 55, 1203 MiB
2026/03/09 13:25:40.195, 100 %, 56, 1203 MiB
2026/03/09 13:25:41.196, 100 %, 56, 1203 MiB
2026/03/09 13:25:42.197, 100 %, 57, 1203 MiB
2026/03/09 13:25:43.198, 100 %, 57, 1203 MiB
2026/03/09 13:25:44.198, 100 %, 57, 1203 MiB
2026/03/09 13:25:45.199, 100 %, 58, 1203 MiB
2026/03/09 13:25:46.200, 100 %, 58, 1203 MiB
2026/03/09 13:25:47.201, 100 %, 58, 1203 MiB
2026/03/09 13:25:48.201, 100 %, 58, 1203 MiB
2026/03/09 13:25:49.202, 100 %, 58, 1203 MiB
2026/03/09 13:25:50.203, 100 %, 58, 1203 MiB
2026/03/09 13:25:51.203, 100 %, 58, 1203 MiB
2026/03/09 13:25:52.204, 100 %, 58, 1203 MiB
2026/03/09 13:25:53.205, 100 %, 58, 1203 MiB
2026/03/09 13:25:54.206, 100 %, 58, 1203 MiB
2026/03/09 13:25:55.206, 100 %, 58, 1203 MiB
2026/03/09 13:25:56.207, 100 %, 58, 1203 MiB
2026/03/09 13:25:57.208, 100 %, 58, 1203 MiB
2026/03/09 13:25:58.209, 100 %, 58, 1203 MiB
2026/03/09 13:25:59.209, 100 %, 58, 1203 MiB
2026/03/09 13:26:00.210, 100 %, 58, 1203 MiB
2026/03/09 13:26:01.211, 100 %, 58, 1203 MiB
2026/03/09 13:26:02.211, 100 %, 58, 1203 MiB
2026/03/09 13:26:03.212, 100 %, 58, 1203 MiB
2026/03/09 13:26:04.213, 100 %, 58, 1203 MiB
2026/03/09 13:26:05.213, 100 %, 58, 1203 MiB
2026/03/09 13:26:06.214, 100 %, 58, 1203 MiB
2026/03/09 13:26:07.215, 100 %, 58, 1203 MiB
2026/03/09 13:26:08.215, 100 %, 58, 1203 MiB
2026/03/09 13:26:09.216, 100 %, 58, 1203 MiB
2026/03/09 13:26:10.217, 100 %, 58, 1203 MiB
2026/03/09 13:26:11.217, 100 %, 58, 1203 MiB
2026/03/09 13:26:12.218, 100 %, 58, 1203 MiB
2026/03/09 13:26:13.220, 100 %, 59, 1203 MiB
2026/03/09 13:26:14.221, 100 %, 58, 1203 MiB
2026/03/09 13:26:15.221, 100 %, 58, 1203 MiB
2026/03/09 13:26:16.222, 100 %, 58, 1203 MiB
2026/03/09 13:26:17.223, 100 %, 58, 1203 MiB
2026/03/09 13:26:18.223, 100 %, 58, 1203 MiB
2026/03/09 13:26:19.224, 100 %, 59, 1203 MiB
2026/03/09 13:26:20.225, 100 %, 59, 1203 MiB
2026/03/09 13:26:21.225, 100 %, 59, 1203 MiB
2026/03/09 13:26:22.226, 100 %, 59, 1203 MiB
2026/03/09 13:26:23.227, 100 %, 59, 1203 MiB
2026/03/09 13:26:24.228, 100 %, 59, 1203 MiB
